bl6;leg;week;aav;gast_weight;ta_weight;csrp3_gast;csrp3_ta;flag_gast;flag_ta
1;1;4;egfp;131.7;44.5;19061611;2328293;3040;8850
1;2;4;csrp3;136.8;44.9;18221225;16518518;3614192;3267652
2;3;4;egfp;133.2;44.8;3437558;3867209;8240;364
2;4;4;csrp3;138.5;50.9;7146671;1732055;1909829;9084
3;5;4;egfp;141.8;49.8;727798;2887460;3805;4622
3;6;4;csrp3;148.8;52.8;5951006;30731957;1747311;30159194
4;7;4;egfp;147.7;45.9;6748958;2754647;249;4618
4;8;4;csrp3;155.3;47.6;7910650;5731626;2823259;31950
5;9;4;egfp;;41.7;482775;111279;4525;19944
5;10;4;csrp3;;48.8;3541365;3176091;1710342;7307196
6;11;4;egfp;129.5;38.6;1228443;1989165;20208;729
6;12;4;csrp3;135.2;38;6124;4590357;1336077;13622048
7;13;4;egfp;150.6;;324299;3823653;7200;16164
7;14;4;csrp3;156.2;;1318495;3877618;371750;4364519
8;15;4;egfp;132.2;43.2;3141;239425;3549;36404
8;16;4;csrp3;134.7;42;320013;14250669;4487458;33159109
9;17;4;egfp;127;34.1;1519205;635744;12252;4637
9;18;4;csrp3;128.1;38.9;5652148;4345630;1431724;7606037
